j,job_id,submit_time,timestamp,turnaround_s,N,pi_est,error
1,90,2026-06-16 13:45:21,2026-06-16 13:47:47,146.0,1000,3.036,0.10559265358979308
2,9,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,2000,3.09,0.05159265358979326
3,77,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,3000,3.08,0.061592653589793045
4,62,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,4000,3.089,0.05259265358979315
5,8,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,5000,3.0952,0.04639265358979294
6,61,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,6000,3.0893333333333333,0.05225932025645985
7,10,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,7000,3.089142857142857,0.05244979644693615
8,122,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,8000,3.0915,0.0500926535897932
9,28,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,9000,3.0964444444444443,0.04514820914534878
10,17,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,10000,3.1056,0.0359926535897932
11,16,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,11000,3.1105454545454547,0.03104719904433839
12,33,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,12000,3.112,0.029592653589793017
13,26,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,13000,3.1138461538461537,0.027746499743639408
14,18,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,14000,3.118,0.023592653589793233
15,24,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,15000,3.1202666666666667,0.021325986923126372
16,35,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,16000,3.124,0.017592653589793006
17,104,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,17000,3.123764705882353,0.017827947707440117
18,36,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,18000,3.1237777777777778,0.01781487581201535
19,105,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,19000,3.1250526315789475,0.01654002201084559
20,6,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,20000,3.1292,0.012392653589793134
21,78,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,21000,3.131809523809524,0.009783129780269295
22,44,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,22000,3.1336363636363638,0.00795628995342934
23,45,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,23000,3.138434782608696,0.0031578709810973216
24,79,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,24000,3.1415,9.265358979293481e-05
25,7,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,25000,3.136,0.005592653589792995
26,5,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,26000,3.1401538461538463,0.0014388074359468206
27,53,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,27000,3.1437037037037037,0.002111050113910551
28,91,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,28000,3.1438571428571427,0.0022644892673495676
29,81,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,29000,3.1422068965517242,0.0006142429619311329
30,57,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,30000,3.14,0.0015926535897929917
31,43,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,31000,3.1396129032258067,0.0019797503639864544
32,94,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,32000,3.13775,0.003842653589793077
33,80,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,33000,3.1364848484848484,0.005107805104944685
34,40,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,34000,3.1363529411764706,0.00523971241332255
35,97,2026-06-16 13:45:21,2026-06-16 13:47:48,147.0,35000,3.1381714285714284,0.0034212250183647264
36,143,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,36000,3.138888888888889,0.0027037647009042765
37,180,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,37000,3.1392432432432433,0.002349410346549785
38,73,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,38000,3.138842105263158,0.002750548326635016
39,98,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,39000,3.1382564102564103,0.0033362433333827823
40,227,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,40000,3.1391,0.0024926535897931146
41,75,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,41000,3.136390243902439,0.0052024096873539705
42,281,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,42000,3.1365714285714286,0.00502122501836455
43,39,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,43000,3.137953488372093,0.0036391652177001355
44,250,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,44000,3.138181818181818,0.0034108354079749326
45,127,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,45000,3.1379555555555556,0.003637098034237507
46,319,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,46000,3.138086956521739,0.0035056970680540367
47,284,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,47000,3.138468085106383,0.0031245684834102505
48,129,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,48000,3.136833333333333,0.004759320256459976
49,112,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,49000,3.1383673469387756,0.003225306651017501
50,110,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,50000,3.13808,0.0035126535897931355
51,37,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,51000,3.136705882352941,0.0048867712368521055
52,229,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,52000,3.1404615384615386,0.0011311151282544785
53,95,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,53000,3.1415849056603773,7.747929415824473e-06
54,42,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,54000,3.1387407407407406,0.002851912849052507
55,83,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,55000,3.137090909090909,0.004501744498884186
56,172,2026-06-16 13:45:21,2026-06-16 13:47:49,148.0,56000,3.1374285714285715,0.0041640821612216605
57,382,2026-06-16 13:45:21,2026-06-16 13:47:50,149.0,57000,3.1382456140350876,0.0033470395547055
58,235,2026-06-16 13:45:21,2026-06-16 13:47:50,149.0,58000,3.1382758620689657,0.0033167915208274223
59,383,2026-06-16 13:45:21,2026-06-16 13:47:50,149.0,59000,3.139186440677966,0.002406212911826966
60,421,2026-06-16 13:45:21,2026-06-16 13:47:50,149.0,60000,3.1392,0.0023926535897929035
61,144,2026-06-16 13:45:21,2026-06-16 13:47:50,149.0,61000,3.139344262295082,0.002248391294711105
62,392,2026-06-16 13:45:21,2026-06-16 13:47:50,149.0,62000,3.1390967741935483,0.002495879396244849
63,351,2026-06-16 13:45:21,2026-06-16 13:47:50,149.0,63000,3.138984126984127,0.0026085266056661283
64,241,2026-06-16 13:45:21,2026-06-16 13:47:50,149.0,64000,3.1403125,0.0012801535897932759
65,11,2026-06-16 13:45:21,2026-06-16 13:47:50,149.0,65000,3.140246153846154,0.0013464997436392068
66,126,2026-06-16 13:45:21,2026-06-16 13:47:50,149.0,66000,3.1404848484848484,0.0011078051049446813
67,244,2026-06-16 13:45:21,2026-06-16 13:47:50,149.0,67000,3.1406567164179107,0.0009359371718824505
68,245,2026-06-16 13:45:21,2026-06-16 13:47:50,149.0,68000,3.1411176470588233,0.0004750065309697682
69,128,2026-06-16 13:45:21,2026-06-16 13:47:50,149.0,69000,3.1412753623188405,0.000317291270952591
70,31,2026-06-16 13:45:21,2026-06-16 13:47:50,149.0,70000,3.1414285714285715,0.00016408216122165697
71,304,2026-06-16 13:45:21,2026-06-16 13:47:50,149.0,71000,3.14112676056338,0.0004658930264129779
72,366,2026-06-16 13:45:21,2026-06-16 13:47:50,149.0,72000,3.1413333333333333,0.00025932025645980517
73,424,2026-06-16 13:45:21,2026-06-16 13:47:51,150.0,73000,3.1414246575342464,0.00016799605554673747
74,352,2026-06-16 13:45:21,2026-06-16 13:47:51,150.0,74000,3.141837837837838,0.0002451842480448718
75,337,2026-06-16 13:45:21,2026-06-16 13:47:51,150.0,75000,3.14224,0.0006473464102070281
76,330,2026-06-16 13:45:21,2026-06-16 13:47:51,150.0,76000,3.141947368421053,0.00035471483125970593
77,523,2026-06-16 13:45:21,2026-06-16 13:47:51,150.0,77000,3.1422337662337663,0.0006411126439731518
78,279,2026-06-16 13:45:21,2026-06-16 13:47:51,150.0,78000,3.1413333333333333,0.00025932025645980517
79,125,2026-06-16 13:45:21,2026-06-16 13:47:51,150.0,79000,3.142025316455696,0.00043266286590304404
80,265,2026-06-16 13:45:21,2026-06-16 13:47:51,150.0,80000,3.14225,0.0006573464102070936
81,270,2026-06-16 13:45:21,2026-06-16 13:47:51,150.0,81000,3.1422716049382715,0.000678951348478396
82,306,2026-06-16 13:45:21,2026-06-16 13:47:51,150.0,82000,3.1417073170731706,0.00011466348337751953
83,299,2026-06-16 13:45:21,2026-06-16 13:47:51,150.0,83000,3.1420722891566264,0.0004796355668332808
84,23,2026-06-16 13:45:21,2026-06-16 13:47:51,150.0,84000,3.142333333333333,0.0007406797435400847
85,267,2026-06-16 13:45:21,2026-06-16 13:47:51,150.0,85000,3.1416470588235295,5.4405233736343206e-05
86,348,2026-06-16 13:45:21,2026-06-16 13:47:51,150.0,86000,3.1426976744186046,0.001105020828811476
87,405,2026-06-16 13:45:21,2026-06-16 13:47:51,150.0,87000,3.1420689655172414,0.00047631192744823636
88,398,2026-06-16 13:45:21,2026-06-16 13:47:51,150.0,88000,3.142318181818182,0.0007255282283886721
89,417,2026-06-16 13:45:21,2026-06-16 13:47:51,150.0,89000,3.1424719101123597,0.000879256522566596
90,371,2026-06-16 13:45:21,2026-06-16 13:47:51,150.0,90000,3.1414666666666666,0.00012598692312648652
91,358,2026-06-16 13:45:21,2026-06-16 13:47:51,150.0,91000,3.1416263736263734,3.37200365803092e-05
92,553,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,92000,3.1411304347826086,0.00046221880718455566
93,547,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,93000,3.141290322580645,0.0003023310091481157
94,220,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,94000,3.141531914893617,6.073869617617689e-05
95,154,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,95000,3.1408,0.0007926535897930798
96,557,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,96000,3.13975,0.0018426535897932972
97,184,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,97000,3.1394639175257733,0.002128736064019865
98,153,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,98000,3.139673469387755,0.0019191842020380712
99,524,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,99000,3.139838383838384,0.0017542697514092431
100,531,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,100000,3.13932,0.0022726535897930056
101,532,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,101000,3.13980198019802,0.0017906733917731898
102,136,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,102000,3.13956862745098,0.0020240261388129177
103,522,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,103000,3.1404660194174756,0.0011266341723175088
104,521,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,104000,3.140769230769231,0.0008234228205621363
105,114,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,105000,3.1414476190476193,0.0001450345421738497
106,328,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,106000,3.1412075471698113,0.0003851064199817955
107,473,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,107000,3.141532710280374,5.9943309419274726e-05
108,138,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,108000,3.141259259259259,0.0003333943305339204
109,528,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,109000,3.1420550458715595,0.00046239228176636615
110,162,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,110000,3.1424,0.000807346410206744
111,411,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,111000,3.14227027027027,0.0006776166804769446
112,571,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,112000,3.1421785714285715,0.0005859178387783714
113,410,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,113000,3.141274336283186,0.000318317306607252
114,372,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,114000,3.14140350877193,0.00018914481786325155
115,549,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,115000,3.141808695652174,0.00021604206238068357
116,55,2026-06-16 13:45:21,2026-06-16 13:47:52,151.0,116000,3.1418275862068965,0.00023493261710338942
117,59,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,117000,3.141948717948718,0.0003560643589248791
118,584,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,118000,3.142813559322034,0.0012209057322407624
119,585,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,119000,3.142016806722689,0.0004241531328958992
120,368,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,120000,3.1424333333333334,0.0008406797435402957
121,418,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,121000,3.1430743801652894,0.0014817265754962783
122,550,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,122000,3.142426229508197,0.0008335759184037173
123,592,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,123000,3.1431219512195123,0.0015292976297192062
124,586,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,124000,3.1420645161290324,0.0004718625392392539
125,579,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,125000,3.142784,0.001191346410206684
126,545,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,126000,3.143047619047619,0.001454965457825974
127,182,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,127000,3.1428976377952758,0.00130498420548264
128,233,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,128000,3.1425,0.0009073464102069551
129,63,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,129000,3.1428837209302327,0.0012910673404396
130,408,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,130000,3.143107692307692,0.001515038717899042
131,225,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,131000,3.142595419847328,0.001002766257534926
132,13,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,132000,3.1426363636363637,0.0010437100465705562
133,527,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,133000,3.142526315789474,0.0009336621996807182
134,268,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,134000,3.143194029850746,0.0016013762609530247
135,412,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,135000,3.142459259259259,0.0008666056694659474
136,566,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,136000,3.142294117647059,0.0007014640572657882
137,567,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,137000,3.1415766423357665,1.6011254026615518e-05
138,413,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,138000,3.140898550724638,0.000694102865155255
139,388,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,139000,3.1406906474820144,0.0009020061077786856
140,414,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,140000,3.1404,0.0011926535897930357
141,212,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,141000,3.1402836879432625,0.001308965646530602
142,575,2026-06-16 13:45:21,2026-06-16 13:47:53,152.0,142000,3.1405915492957748,0.0010011042940183401
143,619,2026-06-16 13:45:21,2026-06-16 13:47:54,153.0,143000,3.1405034965034964,0.0010891570862967548
144,65,2026-06-16 13:45:21,2026-06-16 13:47:54,153.0,144000,3.140111111111111,0.0014815424786820408
145,64,2026-06-16 13:45:21,2026-06-16 13:47:54,153.0,145000,3.1400275862068967,0.0015650673828964123
146,234,2026-06-16 13:45:21,2026-06-16 13:47:54,153.0,146000,3.139972602739726,0.0016200508500672228
147,624,2026-06-16 13:45:21,2026-06-16 13:47:54,153.0,147000,3.1398367346938776,0.0017559188959155314
148,236,2026-06-16 13:45:21,2026-06-16 13:47:54,153.0,148000,3.139891891891892,0.0017007616979012319
