j,job_id,submit_time,execute_time,timestamp,queue_wait_s,turnaround_s,memory_usage_mb,N,pi_est,error
1,0,2026-07-16 14:17:38,2026-07-16 14:18:50,2026-07-16 14:18:50,72.0,72.0,0,1000,3.152,0.010407346410207019
2,1,2026-07-16 14:17:38,2026-07-16 14:18:50,2026-07-16 14:18:50,72.0,72.0,0,2000,3.17,0.028407346410206813
3,3,2026-07-16 14:17:38,2026-07-16 14:18:51,2026-07-16 14:18:51,73.0,73.0,0,3000,3.1533333333333333,0.011740679743540205
4,2,2026-07-16 14:17:38,2026-07-16 14:18:50,2026-07-16 14:18:51,72.0,73.0,0,4000,3.154,0.012407346410206799
5,6,2026-07-16 14:17:38,2026-07-16 14:18:52,2026-07-16 14:18:52,74.0,74.0,0,5000,3.1256,0.015992653589793182
6,5,2026-07-16 14:17:38,2026-07-16 14:18:51,2026-07-16 14:18:52,73.0,74.0,0,6000,3.1266666666666665,0.014925986923126633
7,4,2026-07-16 14:17:38,2026-07-16 14:18:51,2026-07-16 14:18:52,73.0,74.0,0,7000,3.115428571428571,0.026164082161221902
8,9,2026-07-16 14:17:38,2026-07-16 14:18:53,2026-07-16 14:18:53,75.0,75.0,0,8000,3.1125,0.029092653589793294
9,8,2026-07-16 14:17:38,2026-07-16 14:18:53,2026-07-16 14:18:53,75.0,75.0,0,9000,3.1222222222222222,0.019370431367570884
10,7,2026-07-16 14:17:38,2026-07-16 14:18:52,2026-07-16 14:18:53,74.0,75.0,0,10000,3.1188,0.02279265358979332
11,11,2026-07-16 14:17:38,2026-07-16 14:18:54,2026-07-16 14:18:54,76.0,76.0,0,11000,3.1218181818181816,0.019774471771611513
12,10,2026-07-16 14:17:38,2026-07-16 14:18:54,2026-07-16 14:18:54,76.0,76.0,0,12000,3.1243333333333334,0.01725932025645971
13,13,2026-07-16 14:17:38,2026-07-16 14:18:55,2026-07-16 14:18:55,77.0,77.0,0,13000,3.1363076923076925,0.005284961282100653
14,12,2026-07-16 14:17:38,2026-07-16 14:18:55,2026-07-16 14:18:56,77.0,78.0,0,14000,3.142857142857143,0.0012644892673496777
15,14,2026-07-16 14:17:38,2026-07-16 14:18:56,2026-07-16 14:18:56,78.0,78.0,0,15000,3.1437333333333335,0.0021406797435403746
16,15,2026-07-16 14:17:38,2026-07-16 14:18:56,2026-07-16 14:18:56,78.0,78.0,0,16000,3.14025,0.0013426535897931302
17,17,2026-07-16 14:17:38,2026-07-16 14:18:57,2026-07-16 14:18:57,79.0,79.0,0,17000,3.1425882352941175,0.0009955817043243442
18,16,2026-07-16 14:17:38,2026-07-16 14:18:57,2026-07-16 14:18:57,79.0,79.0,0,18000,3.1386666666666665,0.0029259869231266222
19,18,2026-07-16 14:17:38,2026-07-16 14:18:57,2026-07-16 14:18:58,79.0,80.0,0,19000,3.139157894736842,0.002434758852951191
20,19,2026-07-16 14:17:38,2026-07-16 14:18:58,2026-07-16 14:18:58,80.0,80.0,0,20000,3.1372,0.004392653589793127
21,20,2026-07-16 14:17:38,2026-07-16 14:18:58,2026-07-16 14:18:58,80.0,80.0,0,21000,3.1386666666666665,0.0029259869231266222
22,21,2026-07-16 14:17:38,2026-07-16 14:18:58,2026-07-16 14:18:59,80.0,81.0,0,22000,3.1387272727272726,0.002865380862520528
