j,job_id,timestamp,N,pi_est,error
1,3,2026-05-27 13:56:37,10000,3.144,0.002407346410207012
2,2,2026-05-27 13:56:37,20000,3.1398,0.0017926535897929696
3,9,2026-05-27 13:56:38,30000,3.1424,0.000807346410206744
4,8,2026-05-27 13:56:38,40000,3.1451,0.0035073464102066687
5,12,2026-05-27 13:56:38,50000,3.14064,0.0009526535897932398
6,13,2026-05-27 13:56:38,60000,3.1382666666666665,0.003325986923126578
7,11,2026-05-27 13:56:38,70000,3.1381714285714284,0.0034212250183647264
8,7,2026-05-27 13:56:38,80000,3.1396,0.0019926535897929476
9,5,2026-05-27 13:56:38,90000,3.1374666666666666,0.00412598692312649
10,4,2026-05-27 13:56:38,100000,3.13812,0.0034726535897933175
11,15,2026-05-27 13:56:39,110000,3.138581818181818,0.0030108354079749766
12,17,2026-05-27 13:56:39,120000,3.1418333333333335,0.0002406797435403618
13,16,2026-05-27 13:56:39,130000,3.140769230769231,0.0008234228205621363
14,18,2026-05-27 13:56:39,140000,3.1404,0.0011926535897930357
15,10,2026-05-27 13:56:40,150000,3.1415733333333336,1.9320256459565144e-05
16,27,2026-05-27 13:56:40,160000,3.141825,0.00023234641020675184
17,26,2026-05-27 13:56:40,170000,3.1421882352941175,0.0005955817043243883
18,32,2026-05-27 13:56:40,180000,3.142977777777778,0.0013851241879847542
19,25,2026-05-27 13:56:40,190000,3.1417894736842107,0.0001968200944175713
20,22,2026-05-27 13:56:40,200000,3.14222,0.0006273464102068971
21,23,2026-05-27 13:56:40,210000,3.1419619047619047,0.0003692511721116176
22,37,2026-05-27 13:56:40,220000,3.1421636363636365,0.0005709827738433759
23,0,2026-05-27 13:56:40,230000,3.1418608695652175,0.0002682159754243685
24,1,2026-05-27 13:56:40,240000,3.14185,0.0002573464102066936
25,38,2026-05-27 13:56:41,250000,3.142048,0.0004553464102068361
26,28,2026-05-27 13:56:41,260000,3.141969230769231,0.0003765771794377315
27,24,2026-05-27 13:56:41,270000,3.1428,0.0012073464102067
28,31,2026-05-27 13:56:41,280000,3.1415714285714285,2.1225018364656734e-05
29,34,2026-05-27 13:56:41,290000,3.1419862068965516,0.0003935533067584984
30,39,2026-05-27 13:56:42,300000,3.14224,0.0006473464102070281
31,14,2026-05-27 13:56:42,310000,3.1422322580645163,0.000639604474723221
32,29,2026-05-27 13:56:42,320000,3.1424375,0.0008448464102071007
33,33,2026-05-27 13:56:42,330000,3.142109090909091,0.0005164373192978466
34,35,2026-05-27 13:56:42,340000,3.142611764705882,0.0010191111160890998
35,36,2026-05-27 13:56:42,350000,3.1430857142857143,0.0014930606959211445
