seed,sleep
0,59
1,29
2,53
3,31
4,7
5,21
6,37
7,36
8,30
9,55
10,58
11,24
12,35
13,27
14,42
15,18
16,37
17,13
18,23
19,13
20,53
21,11
22,44
23,56
24,21
25,39
26,50
27,56
28,43
29,14
30,24
31,11
32,51
33,9
34,59
35,48
36,26
37,35
38,40
39,11
40,27
41,32
42,25
43,44
44,45
45,18
46,40
47,35
48,33
49,60
50,38
51,21
52,8
53,56
54,40
55,5
56,10
57,51
58,58
59,30
60,50
61,57
62,55
63,47
64,45
65,5
66,44
67,36
68,57
69,60
70,26
71,20
72,51
73,25
74,50
75,60
76,9
77,17
78,41
79,19
80,20
81,56
82,14
83,56
84,39
85,33
86,10
87,10
88,25
89,37
90,36
91,11
92,24
93,40
94,23
95,50
96,12
97,40
98,26
99,57
100,39
101,18
102,56
103,43
104,40
105,42
106,23
107,33
108,10
109,43
110,56
111,29
112,25
113,41
114,20
115,23
116,16
117,17
118,57
119,16
120,7
121,44
122,47
123,21
124,35
125,9
126,10
127,48
128,53
129,13
130,14
131,7
132,58
133,10
134,49
135,58
136,39
137,48
138,30
139,58
140,50
141,38
142,22
143,38
144,56
145,20
146,59
147,18
148,48
149,42
150,57
151,31
152,42
153,22
154,33
155,36
156,47
157,46
158,49
159,55
160,27
161,10
162,25
163,44
164,12
165,36
166,42
167,45
168,26
169,59
170,17
171,20
172,6
173,51
174,22
175,12
176,50
177,19
178,28
179,55
180,15
181,26
182,32
183,57
184,8
185,11
186,55
187,14
188,59
189,49
190,19
191,7
192,57
193,41
194,45
195,39
196,43
197,48
198,9
199,6
200,12
201,45
202,17
203,43
204,58
205,41
206,12
207,30
208,10
209,28
210,58
211,12
212,7
213,43
214,6
215,17
216,16
217,50
218,12
219,35
220,18
221,51
222,56
223,8
224,48
225,6
226,39
227,32
228,44
229,11
230,58
231,21
232,9
233,19
234,9
235,46
236,24
237,27
238,32
239,16
240,8
241,37
242,34
243,7
244,43
245,11
246,49
247,30
248,17
249,21
250,27
251,51
252,35
253,58
254,41
255,15
256,49
257,48
258,18
259,54
260,8
261,55
262,48
263,15
264,59
265,15
266,26
267,38
268,21
269,12
270,43
271,33
272,47
273,16
274,5
275,35
276,48
277,31
278,41
279,60
280,37
281,24
282,46
283,27
284,29
285,58
286,47
287,21
288,14
289,40
290,49
291,5
292,34
293,52
294,10
295,26
296,52
297,7
298,39
299,22
300,13
301,20
302,53
303,35
304,27
305,44
306,23
307,48
308,27
309,42
310,45
311,59
312,44
313,13
314,50
315,24
316,29
317,52
318,31
319,58
320,46
321,10
322,5
323,43
324,17
325,49
326,26
327,15
328,20
329,19
330,45
331,33
332,29
333,50
334,48
335,41
336,60
337,31
338,7
339,30
340,60
341,49
342,41
343,31
344,54
345,47
346,50
347,7
348,15
349,33
350,9
351,21
352,49
353,15
354,33
355,38
356,36
357,40
358,43
359,53
360,5
361,7
362,36
363,25
364,24
365,58
366,34
367,8
368,56
369,57
370,56
371,31
372,17
373,40
374,45
375,10
376,58
377,51
378,13
379,5
380,30
381,48
382,31
383,25
384,5
385,18
386,5
387,50
388,53
389,5
390,57
391,48
392,38
393,44
394,11
395,17
396,12
397,43
398,46
399,17
400,60
401,24
402,22
403,49
404,16
405,11
406,35
407,59
408,30
409,45
410,10
411,6
412,22
413,33
414,56
415,55
416,12
417,60
418,21
419,13
420,46
421,38
422,57
423,46
424,46
425,27
426,12
427,60
428,14
429,22
430,59
431,6
432,7
433,7
434,18
435,48
436,21
437,40
438,25
439,28
440,41
441,59
442,7
443,59
444,52
445,49
446,43
447,46
448,36
449,50
450,46
451,34
452,45
453,32
454,28
455,60
456,39
457,16
458,18
459,29
460,42
461,23
462,5
463,13
464,14
465,22
466,26
467,26
468,55
469,28
470,50
471,10
472,26
473,54
474,44
475,7
476,7
477,22
478,15
479,14
480,42
481,23
482,28
483,30
484,40
485,13
486,23
487,12
